ros_time,recv_time_utc,map_x,map_y,map_z,map_roll,map_pitch,map_yaw,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix,gps_text,tf_ok,doback_ok,doback_age_sec,doback_ax,doback_ay,doback_az,doback_gx,doback_gy,doback_gz,doback_roll,doback_pitch,doback_yaw,doback_si,doback_accmag
1782815440.569934,2026-06-30T10:30:40.570Z,,,,,,,38.046311,-4.04105,,5,1.9,1,,chars=213446 sentences_fix=2768 failed_checksum=0 sats=5 hdop=1.9 lat=38.046311 lon=-4.041050 age_ms=435 alt_m=-5.8,38.046311,-4.04105,,5,1,,chars=213446 sentences_fix=2768 failed_checksum=0 sats=5 hdop=1.9 lat=38.046311 lon=-4.041050 age_ms=435 alt_m=-5.8,0,0,,,,,,,,,,,,
1782815440.586258,2026-06-30T10:30:40.586Z,,,,,,,38.046326,-4.041117,,6,1.8,1,,chars=213597 sentences_fix=2770 failed_checksum=0 sats=6 hdop=1.8 lat=38.046326 lon=-4.041117 age_ms=422 alt_m=-8.1,38.046326,-4.041117,,6,1,,chars=213597 sentences_fix=2770 failed_checksum=0 sats=6 hdop=1.8 lat=38.046326 lon=-4.041117 age_ms=422 alt_m=-8.1,0,0,,,,,,,,,,,,
1782815440.587623,2026-06-30T10:30:40.587Z,,,,,,,38.046334,-4.041248,,5,1.9,1,,chars=213749 sentences_fix=2772 failed_checksum=0 sats=5 hdop=1.9 lat=38.046334 lon=-4.041248 age_ms=434 alt_m=-10.1,38.046334,-4.041248,,5,1,,chars=213749 sentences_fix=2772 failed_checksum=0 sats=5 hdop=1.9 lat=38.046334 lon=-4.041248 age_ms=434 alt_m=-10.1,0,0,,,,,,,,,,,,
1782815440.607376,2026-06-30T10:30:40.607Z,,,,,,,38.046355,-4.041391,,4,1.9,1,,chars=213901 sentences_fix=2774 failed_checksum=0 sats=4 hdop=1.9 lat=38.046355 lon=-4.041391 age_ms=449 alt_m=-10.1,38.046355,-4.041391,,4,1,,chars=213901 sentences_fix=2774 failed_checksum=0 sats=4 hdop=1.9 lat=38.046355 lon=-4.041391 age_ms=449 alt_m=-10.1,0,0,,,,,,,,,,,,
1782815440.608936,2026-06-30T10:30:40.609Z,,,,,,,38.046368,-4.041532,,4,1.9,1,,chars=214052 sentences_fix=2776 failed_checksum=0 sats=4 hdop=1.9 lat=38.046368 lon=-4.041532 age_ms=449 alt_m=-9.9,38.046368,-4.041532,,4,1,,chars=214052 sentences_fix=2776 failed_checksum=0 sats=4 hdop=1.9 lat=38.046368 lon=-4.041532 age_ms=449 alt_m=-9.9,0,0,,,,,,,,,,,,
1782815440.609917,2026-06-30T10:30:40.609Z,,,,,,,38.046376,-4.041672,,4,1.9,1,,chars=214203 sentences_fix=2778 failed_checksum=0 sats=4 hdop=1.9 lat=38.046376 lon=-4.041672 age_ms=449 alt_m=-9.3,38.046376,-4.041672,,4,1,,chars=214203 sentences_fix=2778 failed_checksum=0 sats=4 hdop=1.9 lat=38.046376 lon=-4.041672 age_ms=449 alt_m=-9.3,0,0,,,,,,,,,,,,
1782815440.610798,2026-06-30T10:30:40.610Z,,,,,,,38.046394,-4.041807,,4,1.9,1,,chars=214354 sentences_fix=2780 failed_checksum=0 sats=4 hdop=1.9 lat=38.046394 lon=-4.041807 age_ms=449 alt_m=-8.3,38.046394,-4.041807,,4,1,,chars=214354 sentences_fix=2780 failed_checksum=0 sats=4 hdop=1.9 lat=38.046394 lon=-4.041807 age_ms=449 alt_m=-8.3,0,0,,,,,,,,,,,,
1782815440.611602,2026-06-30T10:30:40.611Z,,,,,,,38.046408,-4.041954,,5,25.5,1,,chars=214507 sentences_fix=2782 failed_checksum=0 sats=5 hdop=25.5 lat=38.046408 lon=-4.041954 age_ms=431 alt_m=-12.1,38.046408,-4.041954,,5,1,,chars=214507 sentences_fix=2782 failed_checksum=0 sats=5 hdop=25.5 lat=38.046408 lon=-4.041954 age_ms=431 alt_m=-12.1,0,0,,,,,,,,,,,,
1782815440.620505,2026-06-30T10:30:40.620Z,,,,,,,38.046428,-4.04209,,5,25.5,1,,chars=214660 sentences_fix=2784 failed_checksum=0 sats=5 hdop=25.5 lat=38.046428 lon=-4.042090 age_ms=434 alt_m=-14.2,38.046428,-4.04209,,5,1,,chars=214660 sentences_fix=2784 failed_checksum=0 sats=5 hdop=25.5 lat=38.046428 lon=-4.042090 age_ms=434 alt_m=-14.2,0,0,,,,,,,,,,,,
1782815440.621675,2026-06-30T10:30:40.621Z,,,,,,,38.046441,-4.042207,,5,25.5,1,,chars=214813 sentences_fix=2786 failed_checksum=0 sats=5 hdop=25.5 lat=38.046441 lon=-4.042207 age_ms=434 alt_m=-15.9,38.046441,-4.042207,,5,1,,chars=214813 sentences_fix=2786 failed_checksum=0 sats=5 hdop=25.5 lat=38.046441 lon=-4.042207 age_ms=434 alt_m=-15.9,0,0,,,,,,,,,,,,
1782815440.622541,2026-06-30T10:30:40.622Z,,,,,,,38.046452,-4.042294,,5,25.5,1,,chars=214966 sentences_fix=2788 failed_checksum=0 sats=5 hdop=25.5 lat=38.046452 lon=-4.042294 age_ms=432 alt_m=-17.4,38.046452,-4.042294,,5,1,,chars=214966 sentences_fix=2788 failed_checksum=0 sats=5 hdop=25.5 lat=38.046452 lon=-4.042294 age_ms=432 alt_m=-17.4,0,0,,,,,,,,,,,,
1782815440.623401,2026-06-30T10:30:40.623Z,,,,,,,38.04647,-4.042416,,5,25.5,1,,chars=215119 sentences_fix=2790 failed_checksum=0 sats=5 hdop=25.5 lat=38.046470 lon=-4.042416 age_ms=431 alt_m=-18.7,38.04647,-4.042416,,5,1,,chars=215119 sentences_fix=2790 failed_checksum=0 sats=5 hdop=25.5 lat=38.046470 lon=-4.042416 age_ms=431 alt_m=-18.7,0,0,,,,,,,,,,,,
1782815440.625075,2026-06-30T10:30:40.625Z,,,,,,,38.046479,-4.042502,,5,25.5,1,,chars=215272 sentences_fix=2792 failed_checksum=0 sats=5 hdop=25.5 lat=38.046479 lon=-4.042502 age_ms=432 alt_m=-19.9,38.046479,-4.042502,,5,1,,chars=215272 sentences_fix=2792 failed_checksum=0 sats=5 hdop=25.5 lat=38.046479 lon=-4.042502 age_ms=432 alt_m=-19.9,0,0,,,,,,,,,,,,
1782815440.635148,2026-06-30T10:30:40.635Z,,,,,,,38.046484,-4.042601,,5,25.5,1,,chars=215425 sentences_fix=2794 failed_checksum=0 sats=5 hdop=25.5 lat=38.046484 lon=-4.042601 age_ms=433 alt_m=-20.8,38.046484,-4.042601,,5,1,,chars=215425 sentences_fix=2794 failed_checksum=0 sats=5 hdop=25.5 lat=38.046484 lon=-4.042601 age_ms=433 alt_m=-20.8,0,0,,,,,,,,,,,,
1782815440.638153,2026-06-30T10:30:40.638Z,,,,,,,38.046487,-4.0427,,5,25.5,1,,chars=215578 sentences_fix=2796 failed_checksum=0 sats=5 hdop=25.5 lat=38.046487 lon=-4.042700 age_ms=433 alt_m=-21.7,38.046487,-4.0427,,5,1,,chars=215578 sentences_fix=2796 failed_checksum=0 sats=5 hdop=25.5 lat=38.046487 lon=-4.042700 age_ms=433 alt_m=-21.7,0,0,,,,,,,,,,,,
1782815440.639831,2026-06-30T10:30:40.639Z,,,,,,,38.046474,-4.042695,,5,25.5,1,,chars=215731 sentences_fix=2798 failed_checksum=0 sats=5 hdop=25.5 lat=38.046474 lon=-4.042695 age_ms=431 alt_m=-22.6,38.046474,-4.042695,,5,1,,chars=215731 sentences_fix=2798 failed_checksum=0 sats=5 hdop=25.5 lat=38.046474 lon=-4.042695 age_ms=431 alt_m=-22.6,0,0,,,,,,,,,,,,
1782815440.65839,2026-06-30T10:30:40.658Z,,,,,,,38.046473,-4.042801,,5,25.5,1,,chars=215884 sentences_fix=2800 failed_checksum=0 sats=5 hdop=25.5 lat=38.046473 lon=-4.042801 age_ms=430 alt_m=-23.2,38.046473,-4.042801,,5,1,,chars=215884 sentences_fix=2800 failed_checksum=0 sats=5 hdop=25.5 lat=38.046473 lon=-4.042801 age_ms=430 alt_m=-23.2,0,0,,,,,,,,,,,,
1782815440.659819,2026-06-30T10:30:40.659Z,,,,,,,38.046439,-4.042746,,5,25.5,1,,chars=216037 sentences_fix=2802 failed_checksum=0 sats=5 hdop=25.5 lat=38.046439 lon=-4.042746 age_ms=430 alt_m=-24.0,38.046439,-4.042746,,5,1,,chars=216037 sentences_fix=2802 failed_checksum=0 sats=5 hdop=25.5 lat=38.046439 lon=-4.042746 age_ms=430 alt_m=-24.0,0,0,,,,,,,,,,,,
1782815440.66106,2026-06-30T10:30:40.661Z,,,,,,,38.046428,-4.042836,,5,25.5,1,,chars=216190 sentences_fix=2804 failed_checksum=0 sats=5 hdop=25.5 lat=38.046428 lon=-4.042836 age_ms=431 alt_m=-24.5,38.046428,-4.042836,,5,1,,chars=216190 sentences_fix=2804 failed_checksum=0 sats=5 hdop=25.5 lat=38.046428 lon=-4.042836 age_ms=431 alt_m=-24.5,0,0,,,,,,,,,,,,
1782815440.661849,2026-06-30T10:30:40.661Z,,,,,,,38.046419,-4.042867,,5,25.5,1,,chars=216343 sentences_fix=2806 failed_checksum=0 sats=5 hdop=25.5 lat=38.046419 lon=-4.042867 age_ms=431 alt_m=-25.1,38.046419,-4.042867,,5,1,,chars=216343 sentences_fix=2806 failed_checksum=0 sats=5 hdop=25.5 lat=38.046419 lon=-4.042867 age_ms=431 alt_m=-25.1,0,0,,,,,,,,,,,,
1782815440.662682,2026-06-30T10:30:40.662Z,,,,,,,38.04642,-4.042927,,5,25.5,1,,chars=216496 sentences_fix=2808 failed_checksum=0 sats=5 hdop=25.5 lat=38.046420 lon=-4.042927 age_ms=429 alt_m=-25.6,38.04642,-4.042927,,5,1,,chars=216496 sentences_fix=2808 failed_checksum=0 sats=5 hdop=25.5 lat=38.046420 lon=-4.042927 age_ms=429 alt_m=-25.6,0,0,,,,,,,,,,,,
1782815440.663544,2026-06-30T10:30:40.663Z,,,,,,,38.046423,-4.04301,,5,25.5,1,,chars=216649 sentences_fix=2810 failed_checksum=0 sats=5 hdop=25.5 lat=38.046423 lon=-4.043010 age_ms=432 alt_m=-26.0,38.046423,-4.04301,,5,1,,chars=216649 sentences_fix=2810 failed_checksum=0 sats=5 hdop=25.5 lat=38.046423 lon=-4.043010 age_ms=432 alt_m=-26.0,0,0,,,,,,,,,,,,
1782815440.664632,2026-06-30T10:30:40.664Z,,,,,,,38.046424,-4.04307,,5,25.5,1,,chars=216802 sentences_fix=2812 failed_checksum=0 sats=5 hdop=25.5 lat=38.046424 lon=-4.043070 age_ms=432 alt_m=-26.4,38.046424,-4.04307,,5,1,,chars=216802 sentences_fix=2812 failed_checksum=0 sats=5 hdop=25.5 lat=38.046424 lon=-4.043070 age_ms=432 alt_m=-26.4,0,0,,,,,,,,,,,,
1782815440.666629,2026-06-30T10:30:40.666Z,,,,,,,38.046421,-4.043131,,5,25.5,1,,chars=216955 sentences_fix=2814 failed_checksum=0 sats=5 hdop=25.5 lat=38.046421 lon=-4.043131 age_ms=430 alt_m=-26.8,38.046421,-4.043131,,5,1,,chars=216955 sentences_fix=2814 failed_checksum=0 sats=5 hdop=25.5 lat=38.046421 lon=-4.043131 age_ms=430 alt_m=-26.8,0,0,,,,,,,,,,,,
1782815440.667714,2026-06-30T10:30:40.667Z,,,,,,,38.046414,-4.043211,,5,25.5,1,,chars=217108 sentences_fix=2816 failed_checksum=0 sats=5 hdop=25.5 lat=38.046414 lon=-4.043211 age_ms=431 alt_m=-27.2,38.046414,-4.043211,,5,1,,chars=217108 sentences_fix=2816 failed_checksum=0 sats=5 hdop=25.5 lat=38.046414 lon=-4.043211 age_ms=431 alt_m=-27.2,0,0,,,,,,,,,,,,
1782815440.669329,2026-06-30T10:30:40.669Z,,,,,,,38.046372,-4.043046,,5,25.5,1,,chars=217261 sentences_fix=2818 failed_checksum=0 sats=5 hdop=25.5 lat=38.046372 lon=-4.043046 age_ms=429 alt_m=-27.6,38.046372,-4.043046,,5,1,,chars=217261 sentences_fix=2818 failed_checksum=0 sats=5 hdop=25.5 lat=38.046372 lon=-4.043046 age_ms=429 alt_m=-27.6,0,0,,,,,,,,,,,,
1782815440.670356,2026-06-30T10:30:40.670Z,,,,,,,38.046356,-4.043044,,5,25.5,1,,chars=217414 sentences_fix=2820 failed_checksum=0 sats=5 hdop=25.5 lat=38.046356 lon=-4.043044 age_ms=429 alt_m=-27.8,38.046356,-4.043044,,5,1,,chars=217414 sentences_fix=2820 failed_checksum=0 sats=5 hdop=25.5 lat=38.046356 lon=-4.043044 age_ms=429 alt_m=-27.8,0,0,,,,,,,,,,,,
