ros_time,recv_time_utc,remote_host,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,raw_hex,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix
1782816092.204631,2026-06-30T10:41:32.204Z,100.93.178.118,38.047221,-4.041935,,7,4.4,1,,chars=314844 sentences_fix=4122 failed_checksum=0 sats=7 hdop=4.4 lat=38.047221 lon=-4.041935 age_ms=362 alt_m=13.1,63 68 61 72 73 3d 33 31 34 38 34 34 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 32 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 34 20 6c 61 74 3d 33 38 2e 30 34 37 32 32 31 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 33 35 20 61 67 65 5f 6d 73 3d 33 36 32 20 61 6c 74 5f 6d 3d 31 33 2e 31 0d 0a,38.047221,-4.041935,,7,1,
1782816092.210876,2026-06-30T10:41:32.211Z,100.93.178.118,38.047224,-4.041939,,7,4.4,1,,chars=314993 sentences_fix=4124 failed_checksum=0 sats=7 hdop=4.4 lat=38.047224 lon=-4.041939 age_ms=362 alt_m=14.3,63 68 61 72 73 3d 33 31 34 39 39 33 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 32 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 34 20 6c 61 74 3d 33 38 2e 30 34 37 32 32 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 33 39 20 61 67 65 5f 6d 73 3d 33 36 32 20 61 6c 74 5f 6d 3d 31 34 2e 33 0d 0a,38.047224,-4.041939,,7,1,
1782816092.212369,2026-06-30T10:41:32.212Z,100.93.178.118,38.047232,-4.041967,,7,4.4,1,,chars=315142 sentences_fix=4126 failed_checksum=0 sats=7 hdop=4.4 lat=38.047232 lon=-4.041967 age_ms=358 alt_m=18.6,63 68 61 72 73 3d 33 31 35 31 34 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 32 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 34 20 6c 61 74 3d 33 38 2e 30 34 37 32 33 32 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 36 37 20 61 67 65 5f 6d 73 3d 33 35 38 20 61 6c 74 5f 6d 3d 31 38 2e 36 0d 0a,38.047232,-4.041967,,7,1,
1782816092.227414,2026-06-30T10:41:32.227Z,100.93.178.118,38.047227,-4.041965,,7,4.4,1,,chars=315292 sentences_fix=4128 failed_checksum=0 sats=7 hdop=4.4 lat=38.047227 lon=-4.041965 age_ms=363 alt_m=19.1,63 68 61 72 73 3d 33 31 35 32 39 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 32 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 34 20 6c 61 74 3d 33 38 2e 30 34 37 32 32 37 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 36 35 20 61 67 65 5f 6d 73 3d 33 36 33 20 61 6c 74 5f 6d 3d 31 39 2e 31 0d 0a,38.047227,-4.041965,,7,1,
1782816092.231181,2026-06-30T10:41:32.231Z,100.93.178.118,38.047232,-4.041969,,7,4.3,1,,chars=315442 sentences_fix=4130 failed_checksum=0 sats=7 hdop=4.3 lat=38.047232 lon=-4.041969 age_ms=361 alt_m=19.6,63 68 61 72 73 3d 33 31 35 34 34 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 33 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 33 32 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 36 39 20 61 67 65 5f 6d 73 3d 33 36 31 20 61 6c 74 5f 6d 3d 31 39 2e 36 0d 0a,38.047232,-4.041969,,7,1,
1782816092.232575,2026-06-30T10:41:32.232Z,100.93.178.118,38.047234,-4.041973,,7,4.3,1,,chars=315592 sentences_fix=4132 failed_checksum=0 sats=7 hdop=4.3 lat=38.047234 lon=-4.041973 age_ms=361 alt_m=20.2,63 68 61 72 73 3d 33 31 35 35 39 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 33 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 33 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 37 33 20 61 67 65 5f 6d 73 3d 33 36 31 20 61 6c 74 5f 6d 3d 32 30 2e 32 0d 0a,38.047234,-4.041973,,7,1,
1782816092.239277,2026-06-30T10:41:32.239Z,100.93.178.118,38.047237,-4.041977,,7,4.3,1,,chars=315742 sentences_fix=4134 failed_checksum=0 sats=7 hdop=4.3 lat=38.047237 lon=-4.041977 age_ms=361 alt_m=21.1,63 68 61 72 73 3d 33 31 35 37 34 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 33 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 33 37 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 37 37 20 61 67 65 5f 6d 73 3d 33 36 31 20 61 6c 74 5f 6d 3d 32 31 2e 31 0d 0a,38.047237,-4.041977,,7,1,
1782816092.241324,2026-06-30T10:41:32.241Z,100.93.178.118,38.047226,-4.041971,,7,4.3,1,,chars=315892 sentences_fix=4136 failed_checksum=0 sats=7 hdop=4.3 lat=38.047226 lon=-4.041971 age_ms=368 alt_m=21.0,63 68 61 72 73 3d 33 31 35 38 39 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 33 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 32 36 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 37 31 20 61 67 65 5f 6d 73 3d 33 36 38 20 61 6c 74 5f 6d 3d 32 31 2e 30 0d 0a,38.047226,-4.041971,,7,1,
1782816092.576669,2026-06-30T10:41:32.576Z,100.93.178.118,38.047219,-4.041965,,7,4.3,1,,chars=316042 sentences_fix=4138 failed_checksum=0 sats=7 hdop=4.3 lat=38.047219 lon=-4.041965 age_ms=368 alt_m=20.5,63 68 61 72 73 3d 33 31 36 30 34 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 33 38 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 31 39 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 36 35 20 61 67 65 5f 6d 73 3d 33 36 38 20 61 6c 74 5f 6d 3d 32 30 2e 35 0d 0a,38.047219,-4.041965,,7,1,
1782816093.62482,2026-06-30T10:41:33.625Z,100.93.178.118,38.047214,-4.041961,,7,4.3,1,,chars=316192 sentences_fix=4140 failed_checksum=0 sats=7 hdop=4.3 lat=38.047214 lon=-4.041961 age_ms=367 alt_m=20.3,63 68 61 72 73 3d 33 31 36 31 39 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 34 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 31 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 36 31 20 61 67 65 5f 6d 73 3d 33 36 37 20 61 6c 74 5f 6d 3d 32 30 2e 33 0d 0a,38.047214,-4.041961,,7,1,
1782816094.641257,2026-06-30T10:41:34.641Z,100.93.178.118,38.047209,-4.041961,,7,4.3,1,,chars=316342 sentences_fix=4142 failed_checksum=0 sats=7 hdop=4.3 lat=38.047209 lon=-4.041961 age_ms=362 alt_m=20.5,63 68 61 72 73 3d 33 31 36 33 34 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 34 32 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 30 39 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 36 31 20 61 67 65 5f 6d 73 3d 33 36 32 20 61 6c 74 5f 6d 3d 32 30 2e 35 0d 0a,38.047209,-4.041961,,7,1,
1782816095.568823,2026-06-30T10:41:35.569Z,100.93.178.118,38.0472,-4.041948,,7,4.3,1,,chars=316492 sentences_fix=4144 failed_checksum=0 sats=7 hdop=4.3 lat=38.047200 lon=-4.041948 age_ms=369 alt_m=19.2,63 68 61 72 73 3d 33 31 36 34 39 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 34 34 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 32 30 30 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 34 38 20 61 67 65 5f 6d 73 3d 33 36 39 20 61 6c 74 5f 6d 3d 31 39 2e 32 0d 0a,38.0472,-4.041948,,7,1,
1782816096.592555,2026-06-30T10:41:36.592Z,100.93.178.118,38.047194,-4.041943,,7,4.3,1,,chars=316642 sentences_fix=4146 failed_checksum=0 sats=7 hdop=4.3 lat=38.047194 lon=-4.041943 age_ms=368 alt_m=18.9,63 68 61 72 73 3d 33 31 36 36 34 32 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 34 31 34 36 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 37 20 68 64 6f 70 3d 34 2e 33 20 6c 61 74 3d 33 38 2e 30 34 37 31 39 34 20 6c 6f 6e 3d 2d 34 2e 30 34 31 39 34 33 20 61 67 65 5f 6d 73 3d 33 36 38 20 61 6c 74 5f 6d 3d 31 38 2e 39 0d 0a,38.047194,-4.041943,,7,1,
