ros_time,recv_time_utc,raw_line,parse_ok,error
1782389666.324263,2026-06-25T12:14:26.324Z,-186.66; -16.96; 997.23; -3807.56; 13727.70; -15802.76; 73628.86; -27342.63; 8065.85; 2180953311.00; 155935.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.69; 173463.00;   0.75;,1,
1782389666.340303,2026-06-25T12:14:26.340Z,-186.78; -17.08; 996.98; -3798.81; 13718.95; -15776.51; 73628.84; -27342.63; 8067.80; 2181053602.00; 19999.00; 19999.00; 19999.00; 19999.00; 20018.00;  -0.59; 1014.47; 179344.00;   0.75;,1,
1782389666.357251,2026-06-25T12:14:26.357Z,-186.90; -17.57; 996.86; -3737.56; 13618.33; -15798.39; 73628.80; -27342.63; 8069.75; 2181153497.00; 19981.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.38; 179344.00;   0.75;,1,
1782389666.374828,2026-06-25T12:14:26.374Z,-186.90; -17.57; 996.50; -3724.44; 13653.33; -15811.51; 73628.78; -27342.64; 8071.71; 2181253685.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.02; 179344.00;   0.75;,1,
1782389666.389615,2026-06-25T12:14:26.389Z,-186.78; -17.32; 996.62; -3702.56; 13662.08; -15776.51; 73628.76; -27342.65; 8073.66; 2181353574.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.12; 179344.00;   0.75;,1,
1782389666.406412,2026-06-25T12:14:26.406Z,-186.90; -17.08; 996.50; -3816.31; 13692.70; -15789.64; 73628.73; -27342.66; 8075.61; 2181453928.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.02; 179344.00;   0.75;,1,
1782389666.42241,2026-06-25T12:14:26.422Z,-186.78; -16.84; 996.86; -3715.69; 13653.33; -15750.26; 73628.71; -27342.66; 8077.56; 2181553775.00; 20027.00; 19971.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.35; 179344.00;   0.75;,1,
1782389666.438825,2026-06-25T12:14:26.438Z,-186.66; -16.96; 996.98; -3702.56; 13697.08; -15772.14; 73628.69; -27342.67; 8079.51; 2181653850.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.45; 179344.00;   0.75;,1,
1782389666.454339,2026-06-25T12:14:26.454Z,-186.66; -17.08; 996.86; -3811.94; 13714.58; -15763.39; 73628.67; -27342.67; 8081.46; 2181754346.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.33; 179344.00;   0.75;,1,
1782389666.471416,2026-06-25T12:14:26.471Z,-186.54; -17.08; 996.74; -3772.56; 13736.45; -15811.51; 73628.65; -27342.68; 8083.41; 2181853968.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.19; 179344.00;   0.75;,1,
1782389667.444032,2026-06-25T12:14:27.444Z,-186.66; -17.08; 996.62; -3881.94; 13810.83; -15745.89; 73628.62; -27342.69; 8085.35; 2182073431.00; 155424.00; 725.00; 19997.00; 19999.00; 19999.00;  -0.59; 1014.09; 179344.00;   0.75;,1,
1782389667.460589,2026-06-25T12:14:27.460Z,-186.78; -16.96; 996.98; -3864.44; 13775.83; -15763.39; 73628.48; -27342.60; 8086.83; 2182173478.00; 19999.00; 19999.00; 20064.00; 19935.00; 19999.00;  -0.59; 1014.47; 179344.00;   0.75;,1,
1782389667.47705,2026-06-25T12:14:27.477Z,-186.90; -16.84; 997.23; -3886.31; 13815.20; -15785.26; 73628.46; -27342.62; 8088.77; 2182273264.00; 20000.00; 19998.00; 19999.00; 20007.00; 19992.00;  -0.59; 1014.73; 172636.00;   0.75;,1,
1782389667.493002,2026-06-25T12:14:27.493Z,-186.90; -16.71; 997.47; -3908.19; 13823.95; -15754.64; 73628.43; -27342.63; 8090.72; 2182373467.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.97; 172636.00;   0.75;,1,
1782389667.509453,2026-06-25T12:14:27.509Z,-186.90; -16.59; 997.47; -3873.19; 13780.20; -15772.14; 73628.41; -27342.65; 8092.67; 2182473866.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.97; 172636.00;   0.75;,1,
1782389667.52633,2026-06-25T12:14:27.526Z,-186.90; -16.71; 997.23; -3903.81; 13806.45; -15772.14; 73628.39; -27342.66; 8094.62; 2182573714.00; 19999.00; 20023.00; 19975.00; 19999.00; 20033.00;  -0.59; 1014.73; 172636.00;   0.75;,1,
1782389667.542428,2026-06-25T12:14:27.542Z,-187.03; -16.59; 997.47; -3890.69; 13788.95; -15776.51; 73628.37; -27342.69; 8096.56; 2182673675.00; 19966.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1014.99; 172636.00;   0.75;,1,
1782389667.557101,2026-06-25T12:14:27.557Z,-187.15; -16.47; 997.47; -3925.69; 13775.83; -15780.89; 73628.34; -27342.71; 8098.50; 2182774164.00; 19999.00; 19999.00; 20031.00; 19973.00; 19994.00;  -0.60; 1015.01; 172636.00;   0.75;,1,
1782389667.573867,2026-06-25T12:14:27.574Z,-187.15; -16.59; 997.47; -3908.19; 13802.08; -15759.01; 73628.32; -27342.73; 8100.45; 2182874165.00; 19999.00; 19999.00; 19999.00; 19999.00; 20063.00;  -0.60; 1015.01; 172636.00;   0.75;,1,
1782389667.590999,2026-06-25T12:14:27.591Z,-186.90; -16.59; 997.23; -3877.56; 13815.20; -15772.14; 73628.30; -27342.75; 8102.39; 2182974030.00; 19936.00; 19999.00; 19999.00; 20041.00; 19957.00;  -0.59; 1014.73; 172636.00;   0.75;,1,
1782389668.564457,2026-06-25T12:14:28.564Z,-187.39; -16.84; 997.11; -3768.19; 13749.58; -15772.14; 73628.28; -27342.77; 8104.33; 2183193387.00; 155480.00; 3552.00; 19997.00; 19999.00; 19999.00;  -0.60; 1014.70; 172636.00;   0.75;,1,
1782389668.580461,2026-06-25T12:14:28.580Z,-187.39; -16.84; 997.23; -3833.81; 13714.58; -15794.01; 73628.17; -27342.69; 8105.88; 2183293495.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.82; 172636.00;   0.75;,1,
1782389668.597228,2026-06-25T12:14:28.597Z,-187.39; -17.08; 997.23; -3798.81; 13714.58; -15767.76; 73628.16; -27342.72; 8107.82; 2183393266.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.83; 176909.00;   0.75;,1,
1782389668.613488,2026-06-25T12:14:28.613Z,-187.51; -16.84; 997.11; -3825.06; 13697.08; -15767.76; 73628.14; -27342.74; 8109.77; 2183493368.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.72; 176909.00;   0.75;,1,
1782389668.63,2026-06-25T12:14:28.630Z,-187.51; -16.84; 996.98; -3794.44; 13727.70; -15745.89; 73628.13; -27342.77; 8111.71; 2183593617.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1014.60; 176909.00;   0.75;,1,
1782389668.646833,2026-06-25T12:14:28.646Z,-187.64; -16.84; 997.23; -3820.69; 13675.20; -15794.01; 73628.11; -27342.79; 8113.65; 2183693681.00; 19999.00; 20045.00; 19953.00; 19999.00; 19999.00;  -0.60; 1014.87; 176909.00;   0.75;,1,
1782389668.662815,2026-06-25T12:14:28.662Z,-187.51; -16.59; 997.47; -3785.69; 13732.08; -15772.14; 73628.09; -27342.82; 8115.59; 2183793762.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.08; 176909.00;   0.75;,1,
1782389668.677779,2026-06-25T12:14:28.677Z,-187.39; -16.59; 997.72; -3803.19; 13788.95; -15750.26; 73628.08; -27342.84; 8117.53; 2183893881.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.30; 176909.00;   0.75;,1,
1782389668.694306,2026-06-25T12:14:28.694Z,-187.64; -16.59; 997.84; -3833.81; 13740.83; -15763.39; 73628.06; -27342.87; 8119.47; 2183994294.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.46; 176909.00;   0.75;,1,
1782389668.711224,2026-06-25T12:14:28.711Z,-187.64; -16.84; 997.96; -3807.56; 13692.70; -15759.01; 73628.05; -27342.90; 8121.41; 2184094401.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.59; 176909.00;   0.75;,1,
1782389669.684179,2026-06-25T12:14:29.684Z,-187.64; -17.08; 997.47; -3663.19; 13561.45; -15794.01; 73628.05; -27342.92; 8123.35; 2184313459.00; 155938.00; 2879.00; 19999.00; 20039.00; 19959.00;  -0.60; 1015.11; 176909.00;   0.75;,1,
1782389669.701366,2026-06-25T12:14:29.701Z,-187.64; -17.20; 997.59; -3628.19; 13583.33; -15763.39; 73627.95; -27342.84; 8124.88; 2184413209.00; 19999.00; 19999.00; 19999.00; 20008.00; 19991.00;  -0.60; 1015.23; 176909.00;   0.75;,1,
1782389669.717227,2026-06-25T12:14:29.717Z,-187.76; -17.08; 997.47; -3632.56; 13570.20; -15807.14; 73627.94; -27342.87; 8126.82; 2184513449.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.13; 174473.00;   0.75;,1,
1782389669.733915,2026-06-25T12:14:29.734Z,-187.76; -16.84; 997.47; -3610.69; 13543.95; -15785.26; 73627.93; -27342.89; 8128.76; 2184613808.00; 19999.00; 19999.00; 19999.00; 20024.00; 19974.00;  -0.60; 1015.13; 174473.00;   0.75;,1,
1782389669.749901,2026-06-25T12:14:29.750Z,-187.76; -16.59; 997.72; -3628.19; 13530.83; -15780.89; 73627.92; -27342.92; 8130.70; 2184713834.00; 19999.00; 20084.00; 19914.00; 19999.00; 19999.00;  -0.60; 1015.36; 174473.00;   0.75;,1,
1782389669.766247,2026-06-25T12:14:29.766Z,-187.88; -16.84; 997.72; -3702.56; 13627.08; -15789.64; 73627.92; -27342.94; 8132.64; 2184813672.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.39; 174473.00;   0.75;,1,
1782389669.782606,2026-06-25T12:14:29.782Z,-187.76; -16.84; 997.47; -3641.31; 13561.45; -15772.14; 73627.92; -27342.97; 8134.58; 2184913811.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.13; 174473.00;   0.75;,1,
1782389669.797622,2026-06-25T12:14:29.797Z,-187.64; -16.84; 997.59; -3658.81; 13565.83; -15772.14; 73627.91; -27342.99; 8136.51; 2185014197.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.23; 174473.00;   0.75;,1,
1782389669.81391,2026-06-25T12:14:29.814Z,-187.64; -16.84; 997.72; -3619.44; 13574.58; -15820.26; 73627.91; -27343.02; 8138.45; 2185113974.00; 19999.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.60; 1015.35; 174473.00;   0.75;,1,
1782389669.831187,2026-06-25T12:14:29.831Z,-187.51; -16.71; 997.84; -3615.06; 13530.83; -15785.26; 73627.91; -27343.05; 8140.39; 2185214117.00; 19999.00; 19999.00; 19999.00; 19999.00; 20005.00;  -0.60; 1015.44; 174473.00;   0.75;,1,
1782389670.824549,2026-06-25T12:14:30.824Z,-186.66; -16.96; 997.59; -3728.81; 13670.83; -15785.26; 73627.91; -27343.08; 8142.32; 2185453383.00; 155723.00; 19999.00; 19999.00; 19999.00; 19999.00;  -0.59; 1015.05; 174473.00;   0.75;,1,
