ros_time,recv_time_utc,ax,ay,az,gx,gy,gz,roll,pitch,yaw,timeantwifi,usciclo1,usciclo2,usciclo3,usciclo4,usciclo5,si,accmag,microsds,k3
1782389779.964365,2026-06-25T12:16:19.964Z,-187.64,-16.84,997.47,-3829.44,13710.20,-15794.01,73627.91,-27343.15,9998.36,2294593326.00,155836.00,19956.00,19999.00,19999.00,19999.00,-0.60,1015.11,179082.00,0.75
1782389779.983607,2026-06-25T12:16:19.983Z,-187.76,-16.96,997.47,-3829.44,13688.33,-15763.39,73627.91,-27343.18,10000.30,2294693518.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.13,180959.00,0.75
1782389779.997011,2026-06-25T12:16:19.997Z,-187.64,-16.71,997.47,-3790.06,13705.83,-15772.14,73627.91,-27343.21,10002.23,2294793377.00,19999.00,20003.00,19995.00,19999.00,19999.00,-0.60,1015.10,180959.00,0.75
1782389780.013816,2026-06-25T12:16:20.013Z,-187.51,-16.84,997.59,-3763.81,13657.70,-15798.39,73627.92,-27343.24,10004.16,2294893370.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.20,180959.00,0.75
1782389780.030465,2026-06-25T12:16:20.030Z,-187.64,-16.84,997.47,-3781.31,13666.45,-15772.14,73627.93,-27343.27,10006.09,2294993465.00,19999.00,20029.00,19970.00,19999.00,19999.00,-0.60,1015.11,180959.00,0.75
1782389780.046703,2026-06-25T12:16:20.046Z,-187.64,-16.84,997.47,-3825.06,13762.70,-15780.89,73627.94,-27343.30,10008.02,2295093689.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.11,180959.00,0.75
1782389780.063013,2026-06-25T12:16:20.063Z,-187.51,-16.84,997.35,-3803.19,13749.58,-15780.89,73627.95,-27343.33,10009.95,2295193978.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1014.96,180959.00,0.75
1782389780.08011,2026-06-25T12:16:20.080Z,-187.64,-16.71,997.47,-3759.44,13758.33,-15763.39,73627.95,-27343.36,10011.88,2295293775.00,19999.00,20025.00,19973.00,19999.00,19999.00,-0.60,1015.10,180959.00,0.75
1782389780.107494,2026-06-25T12:16:20.107Z,-187.64,-16.84,997.47,-3886.31,13727.70,-15820.26,73627.96,-27343.38,10013.81,2295394057.00,19999.00,19999.00,19999.00,19999.00,20042.00,-0.60,1015.11,180959.00,0.75
1782389780.115782,2026-06-25T12:16:20.115Z,-187.88,-16.59,997.47,-3755.06,13732.08,-15789.64,73627.98,-27343.41,10015.74,2295493979.00,19956.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.15,180959.00,0.75
1782389781.104559,2026-06-25T12:16:21.104Z,-187.39,-16.96,997.72,-3593.19,13552.70,-15789.64,73627.98,-27343.44,10017.67,2295733316.00,155615.00,19995.00,19999.00,19999.00,19999.00,-0.60,1015.30,180959.00,0.75
1782389781.121209,2026-06-25T12:16:21.121Z,-187.15,-16.96,997.84,-3632.56,13596.45,-15767.76,73627.99,-27343.47,10019.60,2295833589.00,19999.00,19999.00,19999.00,19999.00,20003.00,-0.59,1015.38,180959.00,0.75
1782389781.137325,2026-06-25T12:16:21.137Z,-187.15,-17.20,997.59,-3597.56,13530.83,-15763.39,73628.02,-27343.49,10021.53,2295933621.00,19995.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.14,185726.00,0.75
1782389781.154066,2026-06-25T12:16:21.154Z,-187.15,-17.20,997.47,-3597.56,13557.08,-15750.26,73628.03,-27343.51,10023.46,2296033402.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.02,185726.00,0.75
1782389781.170331,2026-06-25T12:16:21.170Z,-187.15,-17.32,997.47,-3636.94,13557.08,-15802.76,73628.05,-27343.54,10025.39,2296133577.00,19999.00,19999.00,19999.00,20000.00,19999.00,-0.60,1015.02,185726.00,0.75
1782389781.186645,2026-06-25T12:16:21.186Z,-187.15,-17.32,997.23,-3566.94,13539.58,-15811.51,73628.08,-27343.56,10027.32,2296233644.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1014.78,185726.00,0.75
1782389781.203063,2026-06-25T12:16:21.203Z,-187.15,-17.08,997.23,-3588.81,13539.58,-15798.39,73628.10,-27343.58,10029.25,2296333909.00,19999.00,20033.00,19965.00,19999.00,19999.00,-0.60,1014.78,185726.00,0.75
1782389781.219578,2026-06-25T12:16:21.219Z,-187.15,-17.08,997.35,-3593.19,13526.45,-15785.26,73628.13,-27343.60,10031.18,2296434180.00,19999.00,19999.00,19999.00,19999.00,20022.00,-0.60,1014.90,185726.00,0.75
1782389781.236137,2026-06-25T12:16:21.236Z,-187.03,-17.08,997.35,-3650.06,13587.70,-15789.64,73628.15,-27343.62,10033.10,2296534374.00,19977.00,19999.00,19999.00,19999.00,19999.00,-0.59,1014.88,185726.00,0.75
1782389781.251272,2026-06-25T12:16:21.251Z,-186.90,-16.96,997.35,-3606.31,13570.20,-15789.64,73628.17,-27343.64,10035.03,2296633976.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1014.85,185726.00,0.75
1782389782.244585,2026-06-25T12:16:22.244Z,-186.90,-16.59,997.72,-3895.06,13815.20,-15754.64,73628.19,-27343.67,10036.96,2296873326.00,155632.00,20001.00,19997.00,20033.00,19965.00,-0.59,1015.21,185726.00,0.75
1782389782.260797,2026-06-25T12:16:22.260Z,-187.03,-16.47,997.72,-3886.31,13802.08,-15772.14,73628.20,-27343.69,10038.88,2296973260.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.23,185726.00,0.75
1782389782.278347,2026-06-25T12:16:22.278Z,-186.90,-16.35,998.08,-3881.94,13806.45,-15772.14,73628.22,-27343.71,10040.80,2297073381.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.56,190164.00,0.75
1782389782.294138,2026-06-25T12:16:22.294Z,-186.90,-16.35,997.96,-3934.44,13745.20,-15763.39,73628.23,-27343.74,10042.73,2297173524.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.44,190164.00,0.75
1782389782.310188,2026-06-25T12:16:22.310Z,-187.15,-16.59,997.96,-3916.94,13819.58,-15754.64,73628.25,-27343.76,10044.65,2297273913.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.49,190164.00,0.75
1782389782.326603,2026-06-25T12:16:22.326Z,-186.90,-16.59,998.08,-3864.44,13802.08,-15780.89,73628.28,-27343.79,10046.57,2297373577.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.57,190164.00,0.75
1782389782.343123,2026-06-25T12:16:22.343Z,-186.90,-16.71,997.72,-3925.69,13815.20,-15807.14,73628.30,-27343.81,10048.49,2297473677.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.21,190164.00,0.75
1782389782.359659,2026-06-25T12:16:22.359Z,-187.03,-16.71,997.59,-3895.06,13806.45,-15772.14,73628.32,-27343.83,10050.41,2297573949.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.11,190164.00,0.75
1782389782.37606,2026-06-25T12:16:22.376Z,-186.90,-16.71,997.72,-3860.06,13771.45,-15780.89,73628.35,-27343.85,10052.33,2297674346.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.21,190164.00,0.75
1782389782.391337,2026-06-25T12:16:22.391Z,-186.90,-16.47,997.72,-3943.19,13828.33,-15780.89,73628.38,-27343.87,10054.26,2297774210.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.21,190164.00,0.75
1782389783.383676,2026-06-25T12:16:23.383Z,-187.51,-16.84,997.59,-3553.81,13548.33,-15772.14,73628.41,-27343.88,10056.19,2298013457.00,155673.00,19996.00,19999.00,19999.00,19999.00,-0.60,1015.20,190164.00,0.75
1782389783.400269,2026-06-25T12:16:23.400Z,-187.64,-16.84,997.72,-3588.81,13570.20,-15776.51,73628.45,-27343.89,10058.11,2298113282.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.35,179983.00,0.75
1782389783.417413,2026-06-25T12:16:23.417Z,-187.51,-16.71,997.96,-3641.31,13539.58,-15785.26,73628.48,-27343.90,10060.03,2298213623.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.56,179983.00,0.75
1782389783.433301,2026-06-25T12:16:23.433Z,-187.51,-16.59,997.84,-3584.44,13513.33,-15802.76,73628.51,-27343.91,10061.96,2298313675.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.44,179983.00,0.75
1782389783.449765,2026-06-25T12:16:23.449Z,-187.64,-16.59,997.96,-3650.06,13574.58,-15785.26,73628.54,-27343.92,10063.89,2298413634.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.58,179983.00,0.75
1782389783.466434,2026-06-25T12:16:23.466Z,-187.76,-16.59,998.08,-3606.31,13592.08,-15767.76,73628.57,-27343.93,10065.81,2298513683.00,19999.00,20047.00,19951.00,19999.00,19999.00,-0.60,1015.72,179983.00,0.75
1782389783.482871,2026-06-25T12:16:23.482Z,-187.64,-16.84,997.96,-3663.19,13557.08,-15815.89,73628.60,-27343.94,10067.74,2298613677.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.59,179983.00,0.75
1782389783.500346,2026-06-25T12:16:23.500Z,-187.88,-16.84,997.72,-3663.19,13530.83,-15754.64,73628.63,-27343.94,10069.66,2298714139.00,19999.00,20068.00,19930.00,19999.00,19999.00,-0.60,1015.39,179983.00,0.75
1782389783.515685,2026-06-25T12:16:23.515Z,-188.00,-17.20,997.72,-3580.06,13557.08,-15785.26,73628.66,-27343.95,10071.59,2298814344.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.42,179983.00,0.75
1782389783.531207,2026-06-25T12:16:23.531Z,-187.88,-17.20,997.72,-3663.19,13526.45,-15815.89,73628.70,-27343.96,10073.51,2298913977.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.40,179983.00,0.75
1782389784.52458,2026-06-25T12:16:24.524Z,-186.78,-16.84,997.84,-3781.31,13692.70,-15789.64,73628.73,-27343.96,10075.44,2299153348.00,155549.00,19999.00,19999.00,19999.00,20027.00,-0.59,1015.31,179983.00,0.75
1782389784.54107,2026-06-25T12:16:24.541Z,-186.78,-16.84,997.59,-3811.94,13727.70,-15780.89,73628.76,-27343.97,10077.37,2299253516.00,19971.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.07,181833.00,0.75
1782389784.557417,2026-06-25T12:16:24.557Z,-186.66,-17.08,997.72,-3720.06,13714.58,-15785.26,73628.79,-27343.97,10079.29,2299353511.00,20011.00,19988.00,19999.00,19999.00,19999.00,-0.59,1015.17,181833.00,0.75
1782389784.574075,2026-06-25T12:16:24.574Z,-186.66,-16.96,997.47,-3820.69,13710.20,-15780.89,73628.82,-27343.98,10081.22,2299453470.00,19999.00,20003.00,19995.00,19999.00,19999.00,-0.59,1014.93,181833.00,0.75
1782389784.590648,2026-06-25T12:16:24.590Z,-186.66,-16.84,997.59,-3750.69,13683.95,-15785.26,73628.85,-27343.98,10083.14,2299553593.00,19999.00,19999.00,19999.00,19999.00,20052.00,-0.59,1015.05,181833.00,0.75
1782389784.6087,2026-06-25T12:16:24.608Z,-186.66,-16.59,997.84,-3724.44,13666.45,-15789.64,73628.88,-27343.99,10085.07,2299653807.00,19947.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.28,181833.00,0.75
1782389784.623497,2026-06-25T12:16:24.623Z,-186.66,-16.47,997.84,-3794.44,13666.45,-15807.14,73628.91,-27343.99,10086.99,2299753637.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.28,181833.00,0.75
1782389784.63979,2026-06-25T12:16:24.639Z,-186.66,-16.35,997.96,-3781.31,13714.58,-15767.76,73628.95,-27343.99,10088.92,2299854246.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.40,181833.00,0.75
1782389784.65627,2026-06-25T12:16:24.656Z,-186.66,-16.59,998.08,-3838.19,13710.20,-15776.51,73628.98,-27343.99,10090.84,2299954109.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.59,1015.52,181833.00,0.75
1782389784.671339,2026-06-25T12:16:24.671Z,-186.54,-16.59,998.08,-3768.19,13688.33,-15789.64,73629.01,-27343.98,10092.77,2300054384.00,19999.00,19999.00,20008.00,19990.00,19999.00,-0.59,1015.50,181833.00,0.75
1782389785.664244,2026-06-25T12:16:25.664Z,-187.27,-16.59,997.72,-3833.81,13705.83,-15750.26,73629.04,-27343.98,10094.70,2300293167.00,155847.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.27,181833.00,0.75
1782389785.680381,2026-06-25T12:16:25.680Z,-187.39,-16.47,997.84,-3820.69,13683.95,-15776.51,73629.07,-27343.97,10096.62,2300393142.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.42,176770.00,0.75
1782389785.696901,2026-06-25T12:16:25.696Z,-187.39,-16.59,997.72,-3803.19,13705.83,-15776.51,73629.10,-27343.97,10098.55,2300493739.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.30,176770.00,0.75
1782389785.714913,2026-06-25T12:16:25.715Z,-187.39,-16.59,997.72,-3711.31,13653.33,-15767.76,73629.13,-27343.97,10100.48,2300593373.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.30,176770.00,0.75
1782389785.729665,2026-06-25T12:16:25.729Z,-187.27,-16.35,997.96,-3816.31,13788.95,-15798.39,73629.16,-27343.97,10102.40,2300693576.00,19999.00,19999.00,19999.00,19999.00,19999.00,-0.60,1015.51,176770.00,0.75
