ros_time,recv_time_utc,remote_host,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,raw_hex,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix
1782389780.08565,2026-06-25T12:16:20.086Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389780.097884,2026-06-25T12:16:20.098Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389780.100934,2026-06-25T12:16:20.101Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389780.14265,2026-06-25T12:16:20.143Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389780.597759,2026-06-25T12:16:20.598Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389781.614472,2026-06-25T12:16:21.614Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389782.573322,2026-06-25T12:16:22.573Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389783.58398,2026-06-25T12:16:23.584Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389784.605057,2026-06-25T12:16:24.605Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
1782389785.58262,2026-06-25T12:16:25.583Z,100.93.178.118,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,63 68 61 72 73 3d 30 20 73 65 6e 74 65 6e 63 65 73 5f 66 69 78 3d 30 20 66 61 69 6c 65 64 5f 63 68 65 63 6b 73 75 6d 3d 30 20 73 61 74 73 3d 30 20 68 64 6f 70 3d 3f 20 77 61 69 74 69 6e 67 5f 66 6f 72 5f 66 69 78 3d 31 0d 0a,,,,0,0,1
