ros_time,recv_time_utc,map_x,map_y,map_z,map_roll,map_pitch,map_yaw,latitud,longitud,altitud_m,satelites,hdop,fix_valido,esperando_fix,mensaje_gps,latitude,longitude,altitude,sats,fix_ok,waiting_for_fix,gps_text,tf_ok,doback_ok,doback_age_sec,doback_ax,doback_ay,doback_az,doback_gx,doback_gy,doback_gz,doback_roll,doback_pitch,doback_yaw,doback_si,doback_accmag
1782389780.08565,2026-06-25T12:16:20.086Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.005539894104003906,-187.64,-16.71,997.47,-3759.44,13758.33,-15763.39,73627.95,-27343.36,10011.88,-0.60,1015.10
1782389780.097884,2026-06-25T12:16:20.098Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.017773866653442383,-187.64,-16.71,997.47,-3759.44,13758.33,-15763.39,73627.95,-27343.36,10011.88,-0.60,1015.10
1782389780.100934,2026-06-25T12:16:20.101Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.020823955535888672,-187.64,-16.71,997.47,-3759.44,13758.33,-15763.39,73627.95,-27343.36,10011.88,-0.60,1015.10
1782389780.14265,2026-06-25T12:16:20.143Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.02686786651611328,-187.88,-16.59,997.47,-3755.06,13732.08,-15789.64,73627.98,-27343.41,10015.74,-0.60,1015.15
1782389780.597759,2026-06-25T12:16:20.598Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.4819769859313965,-187.88,-16.59,997.47,-3755.06,13732.08,-15789.64,73627.98,-27343.41,10015.74,-0.60,1015.15
1782389781.614472,2026-06-25T12:16:21.614Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.36319994926452637,-186.90,-16.96,997.35,-3606.31,13570.20,-15789.64,73628.17,-27343.64,10035.03,-0.59,1014.85
1782389782.573322,2026-06-25T12:16:22.573Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.18198513984680176,-186.90,-16.47,997.72,-3943.19,13828.33,-15780.89,73628.38,-27343.87,10054.26,-0.59,1015.21
1782389783.58398,2026-06-25T12:16:23.584Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.05277299880981445,-187.88,-17.20,997.72,-3663.19,13526.45,-15815.89,73628.70,-27343.96,10073.51,-0.60,1015.40
1782389784.605057,2026-06-25T12:16:24.605Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.014409065246582031,-186.66,-16.84,997.59,-3750.69,13683.95,-15785.26,73628.85,-27343.98,10083.14,-0.59,1015.05
1782389785.58262,2026-06-25T12:16:25.583Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.9112808704376221,-186.54,-16.59,998.08,-3768.19,13688.33,-15789.64,73629.01,-27343.98,10092.77,-0.59,1015.50
1782389786.58458,2026-06-25T12:16:26.585Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.7733700275421143,-187.64,-16.59,997.59,-3781.31,13688.33,-15772.14,73629.30,-27343.92,10112.06,-0.60,1015.22
1782389787.606106,2026-06-25T12:16:27.606Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.6551270484924316,-187.15,-17.32,997.84,-3531.94,13500.20,-15785.26,73629.53,-27343.72,10131.42,-0.59,1015.38
1782389788.566068,2026-06-25T12:16:28.566Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.4745140075683594,-187.03,-16.71,996.98,-3890.69,13788.95,-15794.01,73629.65,-27343.55,10150.79,-0.59,1014.51
1782389789.652978,2026-06-25T12:16:29.653Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.4215688705444336,-187.76,-17.20,997.35,-3641.31,13508.95,-15824.64,73629.70,-27343.32,10170.22,-0.60,1015.02
1782389790.606762,2026-06-25T12:16:30.607Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.23482799530029297,-186.42,-17.81,995.76,-3772.56,13705.83,-15763.39,73629.66,-27343.08,10189.71,-0.59,1013.22
1782389791.565304,2026-06-25T12:16:31.565Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.05396914482116699,-187.51,-16.84,996.86,-3798.81,13679.58,-15767.76,73629.51,-27342.92,10209.22,-0.60,1014.48
1782389792.60243,2026-06-25T12:16:32.602Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.015832185745239258,-187.39,-17.08,997.23,-3615.06,13552.70,-15824.64,73629.45,-27342.80,10220.96,-0.60,1014.83
1782389793.611194,2026-06-25T12:16:33.611Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.9600567817687988,-187.15,-17.08,997.35,-3654.44,13596.45,-15811.51,73629.38,-27342.73,10228.78,-0.60,1014.90
1782389794.568764,2026-06-25T12:16:34.569Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.7772488594055176,-187.27,-16.96,996.62,-3895.06,13775.83,-15780.89,73629.06,-27342.69,10248.31,-0.60,1014.20
1782389795.648029,2026-06-25T12:16:35.648Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.7168769836425781,-187.64,-17.45,996.37,-3654.44,13487.08,-15807.14,73628.84,-27342.66,10267.87,-0.60,1014.04
1782389796.668364,2026-06-25T12:16:36.668Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.5972130298614502,-186.66,-17.20,996.86,-3803.19,13714.58,-15780.89,73628.62,-27342.72,10287.38,-0.59,1014.33
1782389797.743288,2026-06-25T12:16:37.743Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.5321741104125977,-187.51,-17.69,996.01,-3728.81,13627.08,-15780.89,73628.45,-27342.85,10306.83,-0.60,1013.66
1782389798.582818,2026-06-25T12:16:38.583Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.25171494483947754,-187.51,-17.08,996.98,-3610.69,13570.20,-15807.14,73628.27,-27342.88,10325.82,-0.60,1014.61
1782389799.606175,2026-06-25T12:16:39.606Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.15480589866638184,-187.15,-16.59,998.20,-3593.19,13578.95,-15776.51,73628.13,-27342.97,10344.85,-0.59,1015.73
1782389800.575012,2026-06-25T12:16:40.575Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.0038709640502929688,-186.78,-16.59,998.20,-3755.06,13697.08,-15794.01,73627.98,-27343.14,10363.80,-0.59,1015.66
1782389801.588542,2026-06-25T12:16:41.588Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.007559061050415039,-187.64,-16.59,997.96,-3807.56,13692.70,-15780.89,73627.99,-27343.19,10367.67,-0.60,1015.58
1782389802.607537,2026-06-25T12:16:42.607Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.8952269554138184,-187.39,-16.71,997.96,-3811.94,13710.20,-15776.51,73628.05,-27343.41,10383.11,-0.60,1015.54
1782389803.565192,2026-06-25T12:16:43.565Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.7142260074615479,-187.27,-16.59,998.33,-3619.44,13583.33,-15802.76,73628.23,-27343.61,10402.41,-0.59,1015.87
1782389804.586482,2026-06-25T12:16:44.586Z,,,,,,,,,,0,,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,,,,0,0,1,chars=0 sentences_fix=0 failed_checksum=0 sats=0 hdop=? waiting_for_fix=1,0,1,0.5954310894012451,-186.78,-16.59,997.84,-3833.81,13819.58,-15785.26,73628.42,-27343.82,10421.65,-0.59,1015.30
